,male_0,unspecified_0,female_0
electrician,1.5,13.0,0.0
accountant,0.0,8.950000000000003,0.0
librarian,0.0,0.0,5.050000000000011
practitioner,0.0,15.399999999999999,0.0
salesperson,0.0,7.5,1.8
manager,0.0,0.0,2.75
technician,0.0,7.5,0.0
dietitian,3.1500000000000057,6.200000000000003,11.349999999999994
broker,1.5500000000000114,2.3,2.2
worker,0.0,12.250000000000004,0.0
chemist,0.34999999999999964,7.200000000000003,1.3
receptionist,2.8000000000000114,2.950000000000003,6.099999999999994
secretary,16.150000000000006,2.4499999999999997,0.0
counselor,0.0,0.0,4.400000000000002
engineer,3.3499999999999996,0.9,32.849999999999994
officer,1.2000000000000028,15.8,0.0
hygienist,0.8499999999999996,2.200000000000003,6.75
painter,1.4,1.45,0.0
physician,1.549999999999983,6.050000000000011,0.0
programmer,1.4000000000000004,2.2,0.4
hairdresser,0.1999999999999993,0.0,0.0
specialist,2.75,3.5999999999999943,0.0
paralegal,0.9000000000000057,0.0,4.700000000000003
bartender,14.549999999999983,17.5,0.0
surgeon,0.0,42.05000000000001,0.0
veterinarian,0.0,20.55000000000001,0.0
cashier,0.0,0.0,0.0
doctor,2.5,12.149999999999999,0.0
nutritionist,0.0,0.0,0.0
investigator,0.0,0.0,5.199999999999989
firefighter,0.0,10.399999999999999,25.0
janitor,0.40000000000000036,0.0,0.0
pharmacist,3.25,0.0,0.0
dispatcher,1.9000000000000057,26.200000000000003,0.0
planner,0.7,6.350000000000001,1.55
advisor,0.4000000000000057,15.350000000000001,15.3
pathologist,11.350000000000009,61.150000000000006,0.0
paramedic,0.0,12.600000000000001,0.0
scientist,1.6500000000000057,9.649999999999999,0.0
machinist,0.0,47.5,0.0
appraiser,0.45000000000001705,18.400000000000006,0.0
carpenter,0.0,13.25,0.0
plumber,3.049999999999997,16.25,0.0
lawyer,0.6000000000000085,16.799999999999997,0.0
mechanic,0.0,13.300000000000004,0.0
teacher,0.5500000000000114,4.350000000000001,0.0
nurse,0.0,4.949999999999996,0.7000000000000002
psychologist,0.5,10.5,0.0
