,man_1,woman_1,other_0,other_1,someone_0,someone_1,woman_0,man_0
pathologist,0.0,0.0,0.0,13.0,0.0,49.4,0.0,0.0
doctor,0.0,0.0,6.15,15.649999999999999,11.8,58.349999999999994,3.7,4.800000000000001
nutritionist,0.0,0.0,0.0,23.1,0.0,0.0,0.0,0.0
pharmacist,0.0,0.0,5.400000000000002,9.749999999999996,14.5,5.200000000000003,2.799999999999997,0.0
bartender,2.1,0.0,13.299999999999997,10.5,14.350000000000001,8.899999999999999,6.949999999999999,0.0
librarian,0.0,0.0,0.0,0.0,10.400000000000006,0.0,14.0,7.5
engineer,0.0,8.950000000000003,0.0,7.699999999999999,13.649999999999991,5.700000000000003,0.3999999999999986,4.449999999999999
therapist,0.8,0.0,12.899999999999999,10.850000000000001,1.7000000000000028,17.449999999999996,6.099999999999994,10.699999999999989
administrator,0.0,0.0,23.0,20.100000000000005,20.1,22.299999999999997,0.0,0.0
accountant,0.0,0.0,1.3000000000000007,0.0,11.149999999999999,0.0,3.8,16.10000000000001
advisor,5.099999999999998,3.1,9.699999999999996,3.8000000000000025,5.700000000000003,1.5,2.049999999999997,0.0
specialist,0.0,0.0,0.0,16.599999999999998,10.200000000000003,17.3,11.649999999999991,2.15
technician,0.0,1.2999999999999972,8.0,0.25,0.0,7.800000000000004,4.450000000000001,3.7499999999999982
nurse,0.0,0.0,7.649999999999999,37.900000000000006,3.8000000000000007,24.0,1.1500000000000001,4.599999999999994
firefighter,0.0,0.0,0.0,6.800000000000011,11.0,0.0,1.3500000000000085,0.0
janitor,0.0,5.35,13.900000000000006,8.799999999999997,0.45000000000000107,13.100000000000001,1.8999999999999986,5.6
lawyer,2.2,0.0,10.650000000000006,0.0,7.699999999999999,6.700000000000003,1.1500000000000057,0.0
secretary,4.349999999999998,0.75,1.999999999999993,8.75,4.3999999999999915,5.0,0.75,8.5
auditor,0.0,0.0,0.0,0.0,12.400000000000006,0.0,0.0,20.450000000000006
electrician,0.0,1.65,0.0,0.0,6.5,0.0,11.5,0.0
receptionist,6.700000000000003,0.9000000000000057,5.5,2.6500000000000057,11.100000000000001,3.5,6.549999999999999,2.75
hygienist,0.0,0.0,1.5500000000000007,15.050000000000004,10.799999999999997,9.649999999999999,2.45,6.75
salesperson,2.950000000000003,3.0999999999999943,7.350000000000001,12.950000000000003,9.249999999999996,3.8999999999999915,19.25,3.6999999999999993
instructor,0.0,0.0,0.0,12.399999999999999,74.75,0.0,50.0,0.0
carpenter,0.0,0.0,0.0,31.900000000000006,2.4000000000000004,100.0,0.6000000000000014,0.0
manager,0.0,0.0,2.05,9.600000000000001,15.599999999999994,5.550000000000001,0.0,0.5999999999999943
appraiser,0.0,0.5499999999999998,22.75,0.8999999999999986,23.75,21.5,0.0,4.950000000000003
mechanic,1.4000000000000004,10.349999999999994,15.799999999999997,7.6,12.349999999999998,6.900000000000006,6.300000000000001,8.700000000000003
plumber,0.0,0.0,0.0,17.950000000000003,0.0,0.0,0.0,0.0
supervisor,0.0,0.0,14.75,0.0,9.350000000000001,0.0,0.0,6.5
hairdresser,14.849999999999998,8.5,4.55,13.949999999999996,14.349999999999994,4.0,17.5,0.0
counselor,0.0,0.0,11.100000000000001,7.749999999999986,1.4500000000000028,100.0,8.7,13.5
architect,0.0,0.0,0.0,18.299999999999997,0.0,23.549999999999997,8.600000000000009,0.0
psychologist,0.0,0.0,13.250000000000004,14.15,12.549999999999997,40.6,2.8999999999999995,0.0
machinist,0.0,0.0,0.0,8.25,0.0,0.0,3.250000000000007,0.0
baker,1.7999999999999998,0.0,4.65,15.200000000000003,2.0500000000000043,9.150000000000006,10.599999999999994,2.7
chemist,0.0,0.0,5.6,15.800000000000004,0.0,5.700000000000003,4.299999999999997,11.700000000000003
inspector,0.0,0.0,14.100000000000009,5.899999999999999,16.75,6.799999999999997,16.200000000000003,13.399999999999997
dispatcher,0.0,0.0,0.0,10.850000000000001,0.0,36.3,0.0,6.299999999999997
teacher,0.7999999999999972,0.5,4.600000000000001,7.1000000000000085,1.749999999999993,5.049999999999997,1.700000000000017,1.9499999999999993
planner,0.0,0.0,0.0,20.6,0.0,0.0,0.0,0.0
physician,0.0,0.0,14.049999999999997,4.95,1.1500000000000057,0.4000000000000057,3.1999999999999886,0.0
examiner,0.0,0.0,29.849999999999994,0.0,17.450000000000003,0.0,0.0,0.0
cashier,4.449999999999989,0.0,1.3500000000000014,12.550000000000004,1.6999999999999957,14.950000000000006,22.799999999999997,1.8999999999999986
clerk,0.0,0.0,40.50000000000001,0.0,0.0,50.0,0.0,0.0
broker,0.0,6.850000000000001,7.1000000000000085,7.599999999999994,5.75,6.0,0.0,1.5499999999999998
worker,0.0,0.0,12.549999999999997,18.85,0.8999999999999995,0.0,2.200000000000001,0.0
painter,5.900000000000006,6.0,1.700000000000001,9.149999999999999,4.100000000000001,14.199999999999996,12.949999999999996,3.9499999999999993
officer,4.5,0.8499999999999943,6.150000000000002,11.0,11.299999999999997,11.149999999999999,0.0,0.0
scientist,0.0,4.800000000000001,21.450000000000003,0.0,18.35,4.899999999999999,0.0,6.5
veterinarian,0.0,0.0,8.399999999999999,0.0,6.649999999999999,67.45,13.7,2.799999999999983
paralegal,2.75,2.5500000000000007,0.0,5.5,9.150000000000002,9.899999999999999,0.0,2.450000000000017
surgeon,0.0,11.149999999999999,19.45,0.0,22.5,12.0,0.0,0.0
dietitian,2.3999999999999773,0.0,0.0,7.75,3.1999999999999993,4.150000000000006,2.049999999999997,0.30000000000000426
investigator,0.0,0.0,0.0,0.0,50.0,4.449999999999996,0.0,0.0
paramedic,2.3499999999999996,1.6500000000000004,0.8500000000000014,9.950000000000003,0.9500000000000011,3.0500000000000043,6.550000000000004,6.550000000000001
programmer,9.799999999999997,0.0,7.25,0.9999999999999991,12.850000000000001,8.699999999999996,2.950000000000003,1.9
educator,0.0,0.0,21.200000000000003,0.0,0.0,73.45,0.0,0.0
chef,0.0,1.799999999999983,7.6499999999999915,16.4,0.0,0.0,0.6999999999999993,0.0
practitioner,0.0,2.8499999999999943,6.2,8.550000000000004,0.05000000000000426,9.900000000000006,0.0,6.5
