,man_0,woman_0,other_1,other_0,someone_0,man_1,someone_1,woman_1
technician,11.0,6.15,13.299999999999997,0.6499999999999999,9.049999999999997,0.04999999999999982,7.600000000000001,3.499999999999986
psychologist,3.3499999999999996,2.0,1.85,4.899999999999999,9.599999999999994,1.2000000000000028,0.0,0.0
chef,0.0,7.349999999999998,3.049999999999997,3.1000000000000014,0.0,0.2,0.9000000000000004,0.0
dietitian,0.6000000000000001,0.5,2.75,1.3500000000000003,3.5,0.0,0.95,0.04999999999999716
bartender,0.65,4.75,0.1,9.600000000000023,1.1,0.0,0.29999999999999993,0.0
investigator,0.0,2.0999999999999943,1.299999999999999,0.0,0.0,0.10000000000000853,1.3499999999999943,0.2500000000000142
paralegal,9.049999999999983,0.0,11.6,0.05,21.25,1.1999999999999997,1.65,7.1000000000000085
teacher,1.2999999999999998,2.1,0.40000000000000036,9.8,14.049999999999997,2.0,1.5499999999999998,0.6500000000000004
librarian,0.5,0.7499999999999996,0.0,0.0,0.0,0.15000000000000568,0.0,0.0
chemist,1.05,0.65,1.6,2.25,0.55,0.1,4.0,0.04999999999999999
surgeon,0.0,30.4,8.149999999999999,0.0,13.25,0.0,0.0,0.0
architect,0.0,26.049999999999997,50.0,0.0,0.0,0.0,0.0,0.0
mechanic,0.0,3.6499999999999986,0.0,7.300000000000011,5.199999999999999,0.0,0.6500000000000057,2.1500000000000057
inspector,13.45,11.1,16.44999999999999,2.35,12.949999999999989,0.8500000000000085,6.650000000000002,0.44999999999999973
educator,0.0,9.25,0.0,0.0,0.0,0.9000000000000004,7.799999999999997,0.34999999999999964
cashier,0.15000000000000036,1.2000000000000002,2.45,13.199999999999996,2.0,0.5499999999999972,1.2,0.29999999999999716
receptionist,1.9999999999999998,1.3499999999999999,3.549999999999999,17.60000000000001,6.6,8.55,17.150000000000006,0.19999999999999996
programmer,0.5,15.649999999999991,2.05,2.450000000000017,2.5,0.09999999999999998,11.899999999999991,0.14999999999999997
pathologist,0.0,0.0,2.5,0.0,0.0,0.09999999999999432,17.500000000000007,0.1
advisor,1.6500000000000057,0.5499999999999998,7.900000000000006,6.100000000000001,7.300000000000001,2.6500000000000004,14.549999999999983,3.3500000000000014
broker,0.35000000000000003,0.35,6.699999999999999,1.1500000000000001,15.700000000000003,0.19999999999999996,1.9000000000000004,0.6999999999999886
painter,1.4000000000000004,0.050000000000000266,3.5,0.8499999999999979,3.6999999999999993,0.4000000000000057,2.4000000000000057,2.75
officer,0.0,0.29999999999999716,4.550000000000001,0.0,2.249999999999999,0.0,0.4500000000000002,0.0
baker,2.8000000000000007,0.3500000000000085,0.55,0.05000000000000071,21.0,0.0,1.2,0.04999999999999999
carpenter,6.25,4.95,7.349999999999998,7.650000000000006,2.95,0.1,1.8500000000000227,1.3499999999999996
accountant,1.8999999999999915,1.1500000000000004,0.0,3.8000000000000003,6.8999999999999915,0.0,0.0,0.0
scientist,1.75,0.4499999999999993,11.850000000000009,2.6500000000000004,3.0000000000000004,2.9499999999999886,18.349999999999994,1.8500000000000085
engineer,3.2499999999999982,18.150000000000006,0.8499999999999996,17.6,0.9,0.7999999999999972,11.149999999999999,0.7999999999999998
manager,8.350000000000009,6.4,15.850000000000009,12.1,13.850000000000023,0.44999999999999996,15.599999999999994,1.25
instructor,0.0,0.0,12.049999999999983,0.0,0.0,0.0,14.95,0.0
worker,21.94999999999999,0.19999999999999998,14.299999999999997,16.499999999999996,23.250000000000004,0.04999999999999999,15.299999999999997,0.7999999999999998
hairdresser,5.199999999999999,3.0000000000000004,18.4,3.75,4.099999999999998,0.40000000000000013,27.64999999999999,3.9000000000000057
counselor,23.6,1.6999999999999993,3.150000000000002,0.0,0.0,0.0,2.55,0.1
plumber,0.14999999999999147,24.450000000000003,0.0,0.45,0.0,0.0,100.0,0.0
planner,0.0,0.0,11.349999999999994,0.0,2.8,0.0,0.0,1.6999999999999993
auditor,7.5,16.799999999999997,0.0,0.0,0.0,0.0,0.0,0.0
salesperson,4.05,3.6500000000000057,0.45,14.450000000000003,19.549999999999997,0.9000000000000057,9.100000000000001,0.0
firefighter,0.9500000000000002,2.4499999999999993,1.5500000000000114,1.8499999999999996,0.20000000000000284,0.0,0.25,0.1999999999999999
therapist,26.599999999999994,0.0,4.599999999999994,0.0,1.3999999999999995,0.0,4.850000000000001,0.0
secretary,3.1500000000000057,5.800000000000001,14.0,28.89999999999999,3.549999999999997,0.050000000000000044,10.850000000000023,0.14999999999999147
machinist,0.4999999999999858,0.20000000000000107,3.200000000000001,1.1,7.0,0.0,0.0,0.0
lawyer,0.3999999999999999,1.5,6.000000000000002,4.600000000000023,0.09999999999999998,0.700000000000017,12.749999999999998,0.05
clerk,0.0,56.65,4.150000000000006,12.65,100.0,0.0,0.0,0.0
dispatcher,4.650000000000002,0.15,1.7999999999999972,5.949999999999996,19.1,2.0999999999999943,0.9000000000000004,1.8999999999999773
nutritionist,0.0,0.3500000000000014,0.0,8.350000000000009,11.0,0.0,0.0,0.0
supervisor,1.15,0.0,0.0,13.45,11.849999999999994,0.0,12.7,0.0
appraiser,3.75,1.2999999999999998,2.0,3.3,6.15,0.10000000000000009,4.15,0.35000000000000053
doctor,2.450000000000003,1.0999999999999996,1.5999999999999979,8.850000000000009,8.25,0.04999999999999999,0.5499999999999998,1.1000000000000085
practitioner,21.199999999999996,4.999999999999993,3.0999999999999996,17.950000000000003,25.849999999999994,1.75,17.4,5.65
nurse,0.0,0.09999999999999998,0.0,8.650000000000006,8.800000000000004,0.0,0.0,0.0
administrator,3.5,5.650000000000006,6.200000000000003,4.699999999999999,15.999999999999998,0.25,3.4000000000000004,0.35
hygienist,3.8999999999999915,0.8000000000000007,7.300000000000001,13.100000000000001,11.149999999999999,0.29999999999999993,9.299999999999997,0.9000000000000001
veterinarian,3.75,3.7,8.1,7.5,8.699999999999996,0.0,0.0,0.1499999999999999
pharmacist,3.799999999999997,17.049999999999997,20.64999999999999,5.65,4.5,0.0,28.050000000000004,0.25
paramedic,0.9500000000000002,0.7000000000000002,3.4499999999999993,3.3499999999999943,1.799999999999999,0.0,5.0,0.0
physician,5.549999999999983,7.000000000000002,16.0,13.900000000000006,7.950000000000003,0.1,14.399999999999999,0.0
examiner,0.05,12.850000000000009,0.0,16.849999999999994,8.55,0.0,0.0,0.0
specialist,0.0,0.15000000000000568,6.6000000000000085,7.1,0.25,0.04999999999999716,11.95,0.1
electrician,0.6500000000000004,1.75,5.2,34.550000000000004,0.5,0.04999999999999716,0.15000000000000568,0.09999999999999998
janitor,0.0,1.2999999999999998,8.399999999999999,0.75,6.599999999999994,0.0,1.8500000000000005,0.0
